Date,REBAR,IRON_ORE,CRUDE_BRENT,COAL_AUS
1979-01-01,295,23.5,18.9500007629395,30.15
1979-02-01,325,23.5,22,30.15
1979-03-01,330,23.5,23.25,30.15
1979-04-01,335,23.5,23.6499996185303,30.15
1979-05-01,335,23.5,32.75,30.15
1979-06-01,335,23.5,36.5,30.15
1979-07-01,335,23.5,35,30.15
1979-08-01,335,23.5,35.75,31.26
1979-09-01,335,23.5,36.5,31.26
1979-10-01,335,23.5,38.5,32.37
1979-11-01,335,23.5,42,32.37
1979-12-01,335,23.5,40.5,32.37
1980-01-01,335,28.09,40,32.37
1980-02-01,335,28.09,38.5,32.37
1980-03-01,335,28.09,38.25,32.37
1980-04-01,335,28.09,38.1500015258789,39.54
1980-05-01,335,28.09,38.5,40.14
1980-06-01,335,28.09,38,40.74
1980-07-01,380,28.09,37.4000015258789,40.74
1980-08-01,380,28.09,33.5999984741211,44.24
1980-09-01,300,28.09,33.4000015258789,44.61
1980-10-01,300,28.09,37.9000015258789,44.61
1980-11-01,300,28.09,40.8499984741211,44.98
1980-12-01,300,28.09,40.1500015258789,44.98
1981-01-01,300,28.09,40.2999992370605,44.98
1981-02-01,300,28.09,38.7000007629395,44.98
1981-03-01,300,28.09,38.3499984741211,44.98
1981-04-01,340,28.09,37.189998626709,56.5
1981-05-01,340,28.09,35.189998626709,56.5
1981-06-01,340,28.09,33.25,56.5
1981-07-01,320,28.09,35.060001373291,56.5
1981-08-01,320,28.09,35.7999992370605,56.5
1981-09-01,300,28.09,35.9099998474121,56.5
1981-10-01,300,28.09,36.5400009155273,56.5
1981-11-01,300,28.09,37.1199989318848,56.5
1981-12-01,300,28.09,36.7000007629395,56.5
1982-01-01,290,32.5,35.8499984741211,55.61
1982-02-01,290,32.5,31.6200008392334,55.61
1982-03-01,250,32.5,29.2999992370605,55.61
1982-04-01,250,32.5,33.1199989318848,55.61
1982-05-01,250,32.5,35.1800003051758,55.61
1982-06-01,250,32.5,34.5999984741211,55.61
1982-07-01,230,32.5,33.7000007629395,55.61
1982-08-01,230,32.5,32.8499984741211,55.61
1982-09-01,230,32.5,34.25,55.61
1982-10-01,230,32.5,35,55.61
1982-11-01,210,32.5,33.7999992370605,55.61
1982-12-01,200,32.5,31.75,45.5
1983-01-01,210,29,30.8500003814697,43
1983-02-01,210,29,29.1000003814697,43
1983-03-01,210,29,28.2000007629395,43
1983-04-01,210,29,29.75,43
1983-05-01,220,29,29.6000003814697,43
1983-06-01,230,29,30.2000007629395,43
1983-07-01,230,29,30.7999992370605,34.75
1983-08-01,230,29,31.1000003814697,34.75
1983-09-01,230,29,30.3500003814697,34.75
1983-10-01,230,29,29.8500003814697,34.75
1983-11-01,230,29,29.2000007629395,32
1983-12-01,230,29,28.9500007629395,29.25
1984-01-01,225,26.15,29.5599994659424,29.25
1984-02-01,225,26.15,29.8799991607666,29.25
