fecha,SF43718,SP1,SF43783,SR16734,SP74665
2015-01-01,,87.110103,,102.3197,5.34
2015-01-02,14.829,,3.3205,,
2015-01-05,14.9469,,3.324,,
2015-01-06,14.8479,,3.3225,,
2015-01-07,14.7936,,3.305,,
2015-01-08,14.6274,,3.3,,
2015-01-09,14.5804,,3.3075,,
2015-01-12,14.6398,,3.3,,
2015-01-13,14.5559,,3.2885,,
2015-01-14,14.5644,,3.2991,,
2015-01-15,14.5821,,3.2975,,
2015-01-16,14.6223,,3.3025,,
2015-01-19,14.6524,,3.2962,,
2015-01-20,14.6484,,3.3017,,
2015-01-21,14.6983,,3.29,,
2015-01-22,14.612,,3.295,,
2015-01-23,14.6499,,3.2925,,
2015-01-26,14.5887,,3.2975,,
2015-01-27,14.5872,,3.3039,,
2015-01-28,14.6878,,3.2977,,
2015-01-29,14.8414,,3.305,,
2015-01-30,14.9885,,3.2875,,
2015-02-01,,87.275377,,99.8705,4.88
2015-02-03,14.7566,,3.295,,
2015-02-04,14.8011,,3.301,,
2015-02-05,14.7548,,3.3,,
2015-02-06,14.9024,,3.2925,,
2015-02-09,14.8014,,3.291,,
2015-02-10,14.9309,,3.2975,,
2015-02-11,15.1099,,3.2955,,
2015-02-12,14.9167,,3.2891,,
2015-02-13,14.8605,,3.3029,,
2015-02-16,14.8979,,3.2961,,
2015-02-17,14.8971,,3.2975,,
2015-02-18,14.9473,,3.3,,
2015-02-19,14.9583,,3.3,,
2015-02-20,15.0757,,3.295,,
2015-02-23,15.0832,,3.2925,,
2015-02-24,14.9712,,3.3,,
2015-02-25,14.9228,,3.3025,,
2015-02-26,14.9624,,3.3041,,
2015-02-27,14.9553,,3.2925,,
2015-03-01,,87.630717,,104.9661,5.29
2015-03-02,14.9862,,3.2987,,
2015-03-03,14.9544,,3.29,,
2015-03-04,15.0756,,3.2934,,
2015-03-05,15.1686,,3.2953,,
2015-03-06,15.4445,,3.2875,,
2015-03-09,15.4544,,3.3037,,
2015-03-10,15.5837,,3.305,,
2015-03-11,15.4455,,3.3075,,
2015-03-12,15.4003,,3.31,,
2015-03-13,15.4892,,3.3025,,
2015-03-17,15.4271,,3.3112,,
2015-03-18,15.4192,,3.314,,
2015-03-19,15.296,,3.309,,
2015-03-20,15.0317,,3.299,,
2015-03-23,14.9644,,3.303,,
2015-03-24,14.9347,,3.305,,
2015-03-25,14.9524,,3.3083,,
2015-03-26,15.1056,,3.3075,,
2015-03-27,15.1542,,3.31,,
2015-03-30,15.2427,,3.305,,
