date,year,month,year_month,ecsu_index,country,source,fecha_procesamiento,date_diff
2006-01-01,2006,1,2006-01,131.71378446148478,turkey,ECSU,2025-09-28 18:09:10.133334,
2006-02-01,2006,2,2006-02,132.2229883271207,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-03-01,2006,3,2006-03,268.60485120952995,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2006-04-01,2006,4,2006-04,246.86938499223191,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-05-01,2006,5,2006-05,263.06120358593387,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2006-06-01,2006,6,2006-06,272.1472041126031,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-07-01,2006,7,2006-07,132.29765563070035,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2006-08-01,2006,8,2006-08,268.1844564882768,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-09-01,2006,9,2006-09,260.9338026240438,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-10-01,2006,10,2006-10,133.96613517196474,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2006-11-01,2006,11,2006-11,136.59303533000332,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2006-12-01,2006,12,2006-12,138.2092659990463,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2007-01-01,2007,1,2007-01,102.04789780393193,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2007-02-01,2007,2,2007-02,101.40681450288247,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2007-03-01,2007,3,2007-03,201.81063163444117,turkey,ECSU,2025-09-28 18:09:10.133334,28 days
2007-04-01,2007,4,2007-04,96.90834406428212,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
2007-05-01,2007,5,2007-05,185.10240876510264,turkey,ECSU,2025-09-28 18:09:10.133334,30 days
2007-06-01,2007,6,2007-06,198.28363501322715,turkey,ECSU,2025-09-28 18:09:10.133334,31 days
