Tipo,Año,Mes,Índice (MXN/GJ),Índice (USD/MBtu),Tipo de cambio,Número de Comercializadores,Transacciones reportadas,Transacciones atípicas,Volumen comercializado total (GJ),fecha_procesamiento
IPGN,2018,Enero,78.1289,4.3379,19.0025,20,159,6,169033189.1,2025-09-28 18:09:10.244878
IPGN,2019,Enero,79.6786,4.3749,19.2154,23,286,13,205463002.7,2025-09-28 18:09:10.244878
IPGN,2020,Enero,52.0535,2.9203,18.806,24,298,37,199059083.1,2025-09-28 18:09:10.244878
IPGN,2021,Enero,63.9199,3.3908,19.8889,27,254,37,185882265.2,2025-09-28 18:09:10.244878
IPGN,2022,Enero,92.6408,4.7741,20.4734,29,314,10,182446927.6,2025-09-28 18:09:10.244878
IPGN,2023,Enero,90.7206,5.0261,19.0436,31,436,14,201966316.1,2025-09-28 18:09:10.244878
IPGN,2024,Enero,60.888,3.765,17.0626,27,377,14,209165238.1,2025-09-28 18:09:10.244878
IPGN,2025,Enero,84.81,4.3521,20.5599,32,419,14,236290629.5,2025-09-28 18:09:10.244878
IPGN,2018,Febrero,80.4542,4.5567,18.6282,22,153,7,162354004.8,2025-09-28 18:09:10.244878
IPGN,2019,Febrero,69.4891,3.8204,19.1902,22,297,13,186743113.5,2025-09-28 18:09:10.244878
IPGN,2020,Febrero,48.2574,2.7131,18.7664,23,313,42,183170543.8,2025-09-28 18:09:10.244878
IPGN,2021,Febrero,410.0189,21.3717,20.2415,26,262,30,163648186.6,2025-09-28 18:09:10.244878
IPGN,2022,Febrero,105.1,5.4138,20.4823,32,350,13,176235421.5,2025-09-28 18:09:10.244878
IPGN,2023,Febrero,58.5271,3.3124,18.6418,30,422,14,190515361.4,2025-09-28 18:09:10.244878
IPGN,2024,Febrero,42.1724,2.6021,17.0996,28,498,16,204511885.1,2025-09-28 18:09:10.244878
IPGN,2025,Febrero,70.4522,3.6328,20.4612,38,436,11,228546853.5,2025-09-28 18:09:10.244878
IPGN,2018,Marzo,68.8548,3.8882,18.6839,22,176,10,174857038.3,2025-09-28 18:09:10.244878
IPGN,2019,Marzo,57.3685,3.1469,19.2339,23,311,13,210576916.0,2025-09-28 18:09:10.244878
IPGN,2020,Marzo,46.2114,2.2193,21.969,22,330,38,182249779.8,2025-09-28 18:09:10.244878
IPGN,2021,Marzo,71.1911,3.6129,20.7895,30,340,62,215921791.4,2025-09-28 18:09:10.244878
IPGN,2022,Marzo,92.9422,4.7588,20.6061,31,344,11,196206334.9,2025-09-28 18:09:10.244878
IPGN,2023,Marzo,47.7043,2.7349,18.403,29,424,13,214569929.4,2025-09-28 18:09:10.244878
IPGN,2024,Marzo,30.4848,1.9094,16.8445,29,407,18,212871994.45,2025-09-28 18:09:10.244878
IPGN,2025,Marzo,61.1124,3.1843,20.2488,34,542,15,340535827.4,2025-09-28 18:09:10.244878
IPGN,2018,Abril,71.8538,4.1321,18.3464,20,180,5,154646713.7,2025-09-28 18:09:10.244878
IPGN,2019,Abril,51.9383,2.8806,19.0231,18,252,9,179868052.2,2025-09-28 18:09:10.244878
IPGN,2020,Abril,48.9707,2.1299,24.2579,26,326,52,187023821.3,2025-09-28 18:09:10.244878
IPGN,2021,Abril,64.1778,3.3766,20.0534,28,320,43,213479874.1,2025-09-28 18:09:10.244878
IPGN,2022,Abril,115.8555,6.0972,20.0475,31,408,17,211683979.6,2025-09-28 18:09:10.244878
IPGN,2023,Abril,42.7243,2.4919,18.0891,25,450,14,215509082.1,2025-09-28 18:09:10.244878
IPGN,2024,Abril,28.1815,1.7731,16.7691,28,394,15,216455987.9,2025-09-28 18:09:10.244878
IPGN,2025,Abril,59.8831,3.1373,20.1385,29,397,12,234468743.4,2025-09-28 18:09:10.244878
IPGN,2018,Mayo,74.3111,4.0228,19.4894,19,179,8,160445522.8,2025-09-28 18:09:10.244878
IPGN,2019,Mayo,54.301,3.0014,19.0883,23,303,7,229542463.41,2025-09-28 18:09:10.244878
IPGN,2020,Mayo,53.0901,2.3734,23.6004,23,288,39,146547078.6,2025-09-28 18:09:10.244878
IPGN,2021,Mayo,70.8951,3.7431,19.9829,33,409,52,233124249.1,2025-09-28 18:09:10.244878
IPGN,2022,Mayo,140.8607,7.3901,20.1101,30,390,22,227229287.8,2025-09-28 18:09:10.244878
IPGN,2023,Mayo,53.2013,3.1591,17.768,32,408,11,112632168.8,2025-09-28 18:09:10.244878
IPGN,2024,Mayo,30.6026,1.9218,16.8011,32,424,14,249964778.7,2025-09-28 18:09:10.244878
IPGN,2025,Mayo,53.5949,2.906,19.4585,32,403,12,251550082.8,2025-09-28 18:09:10.244878
IPGN,2018,Junio,74.7387,3.8824,20.3105,21,183,7,170329829.7,2025-09-28 18:09:10.244878
IPGN,2019,Junio,50.8769,2.7825,19.2912,21,243,5,233195999.92,2025-09-28 18:09:10.244878
IPGN,2020,Junio,49.02,2.3281,22.2153,24,290,35,186017228.1,2025-09-28 18:09:10.244878
IPGN,2021,Junio,66.9064,3.5231,20.0366,30,354,13,246756973.9,2025-09-28 18:09:10.244878
IPGN,2022,Junio,144.8,7.65,19.9743,29,397,13,223299730.0,2025-09-28 18:09:10.244878
IPGN,2023,Junio,57.8157,3.5274,17.293,29,282,7,96336348.31,2025-09-28 18:09:10.244878
IPGN,2024,Junio,42.3503,2.4708,18.0839,30,419,15,236657611.1,2025-09-28 18:09:10.244878
