date,sr_m01,sc_m01,rebar_scrap_spread,rebar_scrap_ratio
2015-11-23,338.0,195.0,143.0,1.7333333333333334
2015-11-24,337.0,195.0,142.0,1.7282051282051285
2015-11-25,335.0,195.0,140.0,1.7179487179487178
2015-11-26,334.0,192.0,142.0,1.7395833333333333
2015-11-27,334.0,192.0,142.0,1.7395833333333333
2015-11-30,341.33,195.52,145.80999999999997,1.7457549099836331
2015-12-01,330.0,188.0,142.0,1.75531914893617
2015-12-02,330.0,184.0,146.0,1.7934782608695652
2015-12-03,330.0,184.0,146.0,1.7934782608695652
2015-12-04,330.0,184.0,146.0,1.7934782608695652
2015-12-07,330.0,184.0,146.0,1.7934782608695652
2015-12-08,325.0,184.0,141.0,1.766304347826087
2015-12-09,325.0,184.0,141.0,1.766304347826087
2015-12-10,325.0,184.0,141.0,1.766304347826087
2015-12-11,325.0,184.0,141.0,1.766304347826087
2015-12-14,325.0,184.0,141.0,1.766304347826087
2015-12-15,325.0,184.0,141.0,1.766304347826087
2015-12-16,325.0,184.0,141.0,1.766304347826087
2015-12-17,325.0,184.0,141.0,1.766304347826087
2015-12-18,326.0,185.0,141.0,1.762162162162162
2015-12-21,326.0,185.0,141.0,1.762162162162162
2015-12-22,326.0,187.5,138.5,1.7386666666666666
2015-12-23,326.0,187.5,138.5,1.7386666666666666
2015-12-24,326.0,187.5,138.5,1.7386666666666666
2015-12-29,326.0,187.5,138.5,1.7386666666666666
2015-12-30,326.0,187.5,138.5,1.7386666666666666
2015-12-31,326.38,188.95,137.43,1.7273352738819794
2016-01-04,327.0,184.0,143.0,1.7771739130434785
2016-01-05,327.0,184.0,143.0,1.7771739130434785
2016-01-06,327.0,184.0,143.0,1.7771739130434785
2016-01-07,327.0,184.0,143.0,1.7771739130434785
2016-01-08,327.0,185.0,142.0,1.7675675675675675
2016-01-11,327.0,186.0,141.0,1.7580645161290325
2016-01-12,327.0,186.0,141.0,1.7580645161290325
2016-01-13,327.0,186.0,141.0,1.7580645161290325
2016-01-14,327.0,187.0,140.0,1.7486631016042782
2016-01-15,327.0,187.0,140.0,1.7486631016042782
2016-01-18,327.0,187.0,140.0,1.7486631016042782
2016-01-19,327.0,187.0,140.0,1.7486631016042782
2016-01-20,327.0,187.0,140.0,1.7486631016042782
2016-01-21,327.0,187.0,140.0,1.7486631016042782
2016-01-22,326.5,187.0,139.5,1.7459893048128343
2016-01-25,325.0,187.0,138.0,1.7379679144385027
2016-01-26,325.0,187.0,138.0,1.7379679144385027
2016-01-27,325.0,186.5,138.5,1.742627345844504
2016-01-28,325.0,186.0,139.0,1.7473118279569892
2016-01-29,323.18,185.75,137.43,1.7398654104979812
2016-02-01,323.0,180.0,143.0,1.7944444444444445
2016-02-02,323.0,180.0,143.0,1.7944444444444445
2016-02-03,323.0,180.0,143.0,1.7944444444444445
