date,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,commodity,year,month,fecha_procesamiento,front_month,back_month,contango_3m,contango_6m,spread_m1_m2,spread_m1_m3
2015-11-23,338.0,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,SR,2015,11,2025-09-28 18:14:15.994359,338.0,333.5,-1.33,-1.33,-4.5,-4.5
2015-11-24,337.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,SR,2015,11,2025-09-28 18:14:15.994359,337.0,335.0,-0.59,-0.59,-2.0,-2.0
2015-11-25,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,SR,2015,11,2025-09-28 18:14:15.994359,335.0,335.0,0.0,0.0,0.0,0.0
2015-11-26,334.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,SR,2015,11,2025-09-28 18:14:15.994359,334.0,335.0,0.3,0.3,1.0,1.0
2015-11-27,334.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,SR,2015,11,2025-09-28 18:14:15.994359,334.0,335.0,0.3,0.3,1.0,1.0
2015-11-30,341.33,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,SR,2015,11,2025-09-28 18:14:15.994359,341.33,332.0,-2.73,-2.73,-9.329999999999984,-9.329999999999984
2015-12-01,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,SR,2015,12,2025-09-28 18:14:15.994359,330.0,330.0,0.0,0.0,0.0,0.0
2015-12-02,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,SR,2015,12,2025-09-28 18:14:15.994359,330.0,330.0,0.0,0.0,0.0,0.0
2015-12-03,330.0,330.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,330.0,329.0,-0.3,-0.3,0.0,-1.0
2015-12-04,330.0,330.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,330.0,329.0,-0.3,-0.3,0.0,-1.0
2015-12-07,330.0,330.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,330.0,329.0,-0.3,-0.3,0.0,-1.0
2015-12-08,325.0,328.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,329.0,1.23,1.23,3.0,4.0
2015-12-09,325.0,328.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,329.0,1.23,1.23,3.0,4.0
2015-12-10,325.0,328.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,329.0,1.23,1.23,3.0,4.0
2015-12-11,325.0,328.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,329.0,1.23,1.23,3.0,4.0
2015-12-14,325.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,327.0,0.62,0.62,2.0,2.0
2015-12-15,325.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,327.0,0.62,0.62,2.0,2.0
2015-12-16,325.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,327.0,0.62,0.62,2.0,2.0
2015-12-17,325.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,SR,2015,12,2025-09-28 18:14:15.994359,325.0,327.0,0.62,0.62,2.0,2.0
2015-12-18,326.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,334.0,2.45,2.45,8.0,8.0
2015-12-21,326.0,330.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,334.0,2.45,2.45,4.0,8.0
2015-12-22,326.0,327.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,330.0,1.23,2.15,1.0,4.0
2015-12-23,326.0,327.0,330.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,330.0,1.23,2.15,1.0,4.0
2015-12-24,326.0,327.0,330.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,330.0,1.23,2.15,1.0,4.0
2015-12-29,326.0,327.0,330.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,330.0,1.23,2.15,1.0,4.0
2015-12-30,326.0,327.0,330.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.0,330.0,1.23,2.15,1.0,4.0
2015-12-31,326.38,327.0,330.0,330.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2015,12,2025-09-28 18:14:15.994359,326.38,330.0,1.11,1.42,0.6200000000000045,3.6200000000000045
2016-01-04,327.0,330.0,330.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,1.53,3.0,3.0
2016-01-05,327.0,330.0,330.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,1.53,3.0,3.0
2016-01-06,327.0,330.0,330.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,1.53,3.0,3.0
2016-01-07,327.0,329.0,330.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,1.53,2.0,3.0
2016-01-08,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-11,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-12,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-13,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-14,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-15,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-18,327.0,329.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,2.0,3.0
2016-01-19,327.0,325.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,-2.0,3.0
2016-01-20,327.0,325.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,-2.0,3.0
2016-01-21,327.0,325.0,330.0,330.0,330.0,330.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,327.0,330.0,0.92,0.92,-2.0,3.0
2016-01-22,326.5,325.0,326.0,328.0,329.0,330.0,331.0,332.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,SR,2016,1,2025-09-28 18:14:15.994359,326.5,326.0,-0.15,1.07,-1.5,-0.5
