,lme_sr_m01_lag1,usdmxn_lag1,mexico_premium,lme_volatility_5d,lme_momentum_5d,contango_indicator,rebar_scrap_spread_norm,trade_events_impact_7d,weekday_effect,seasonality_simple,real_interest_rate,uncertainty_indicator,market_regime,days_to_holiday,model_confidence,is_holiday_mx,is_weekend,sr_m01_imputed,sc_m01_imputed,usdmxn_imputed,tiie28_imputed,target_mexico_price,data_quality_score
2015-01-01,,,1.157,0.02,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,30,0.95,0,0,True,True,True,True,391.06600000000003,1.0
2015-01-02,338.0,14.829,1.157,0.02,0.0,0.0,0.4230769230769231,0.0,0.01,-0.01,4.0,0.5,0,30,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-03,338.0,14.829,1.157,0.02,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,30,0.85,0,1,True,True,True,True,391.06600000000003,1.0
2015-01-04,338.0,14.829,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,29,0.85,0,1,True,True,True,True,391.06600000000003,1.0
2015-01-05,338.0,14.829,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,-0.02,-0.01,4.0,0.5,0,28,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-06,338.0,14.9469,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.01,-0.01,4.0,0.5,0,27,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-07,338.0,14.8479,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,26,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-08,338.0,14.7936,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,25,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-09,338.0,14.6274,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.01,-0.01,4.0,0.5,0,24,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-10,338.0,14.5804,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,23,0.85,0,1,True,True,True,True,391.06600000000003,1.0
2015-01-11,338.0,14.5804,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,22,0.85,0,1,True,True,True,True,391.06600000000003,1.0
2015-01-12,338.0,14.5804,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,-0.02,-0.01,4.0,0.5,0,21,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-13,338.0,14.6398,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.01,-0.01,4.0,0.5,0,20,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-14,338.0,14.5559,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,19,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-15,338.0,14.5644,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,-0.01,4.0,0.5,0,18,0.95,1,0,True,True,False,False,391.06600000000003,1.0
2015-01-16,338.0,14.5821,1.157,0.0,0.0,0.0,0.4230769230769231,0.0,0.01,-0.01,4.0,0.5,0,17,0.95,1,0,True,True,False,False,391.06600000000003,1.0
